	occurrences_as_cue	total_occurrences	ratio
value	15	514	0.029
demand	18	315	0.057
seem	5	307	0.016
hard	1	162	0.006
add	342	665	0.514
note	235	574	0.409
concern	20	534	0.037
worried	10	47	0.213
emerge	2	72	0.028
troubled	1	66	0.015
state	15	710	0.021
assert	24	35	0.686
request	16	121	0.132
seek	17	373	0.046
hope	94	264	0.356
review	1	114	0.009
order	25	547	0.046
require	35	278	0.126
appeal	3	125	0.024
commission	1	141	0.007
determine	8	100	0.08
ruling	3	84	0.036
address	3	60	0.05
change	1	621	0.002
challenge	1	94	0.011
subject	1	146	0.007
rule	27	281	0.096
set	3	384	0.008
estimate	113	526	0.215
involve	1	172	0.006
compare	3	354	0.008
directly	3	107	0.028
file	5	263	0.019
disclose	36	199	0.181
provide	9	427	0.021
project	14	296	0.047
anticipate	10	77	0.13
public	1	344	0.003
theory	2	46	0.043
want	79	573	0.138
need	1	462	0.002
call	89	681	0.131
scenario	1	40	0.025
detail	1	98	0.01
link	1	89	0.011
believe	173	365	0.474
contain	1	71	0.014
direct	1	120	0.008
term	4	337	0.012
calculate	2	44	0.045
favor	11	96	0.115
post	56	325	0.172
comment	22	280	0.079
regard	5	73	0.068
claim	74	305	0.243
list	5	192	0.026
allegedly	3	27	0.111
law	1	417	0.002
themselves	1	130	0.008
discourage	2	22	0.091
laud	3	4	0.75
agreement	5	402	0.012
amend	1	22	0.045
measure	1	241	0.004
vow	13	22	0.591
deem	3	13	0.231
recognition	1	24	0.042
tell	134	346	0.387
effort	7	324	0.022
concerned	14	72	0.194
elaborate	1	41	0.024
complain	40	85	0.471
ask	85	314	0.271
declaration	1	14	0.071
aspire	1	7	0.143
feel	19	193	0.098
forgive	1	8	0.125
allow	15	295	0.051
label	1	36	0.028
prefer	6	153	0.039
certain	2	260	0.008
program	1	802	0.001
response	1	112	0.009
deny	32	102	0.314
grant	1	83	0.012
buy	1	935	0.001
snap	2	20	0.1
put	14	443	0.032
agree	157	437	0.359
incorporate	1	17	0.059
June	1	187	0.005
announcement	5	126	0.04
publicly	1	76	0.013
here	1	321	0.003
quip	6	7	0.857
focus	1	141	0.007
account	2	349	0.006
urge	26	71	0.366
reason	4	193	0.021
see	43	596	0.072
suggest	74	178	0.416
insist	56	99	0.566
advice	1	38	0.026
quickly	1	133	0.008
clear	13	206	0.063
Soviets	1	73	0.014
stress	14	49	0.286
survey	1	131	0.008
predict	87	145	0.6
cite	79	158	0.5
warning	7	54	0.13
signal	1	59	0.017
intend	17	121	0.14
exclude	1	68	0.015
count	1	77	0.013
evidence	6	106	0.057
deliver	1	89	0.011
pressure	2	173	0.012
acknowledge	42	64	0.656
suspect	13	39	0.333
odd	3	45	0.067
blame	20	84	0.238
contribute	15	124	0.121
article	1	131	0.008
read	6	109	0.055
worry	22	82	0.268
notion	1	26	0.038
retort	1	2	0.5
publish	1	86	0.012
write	33	191	0.173
commitment	1	97	0.01
complaint	5	56	0.089
commit	1	59	0.017
learn	11	90	0.122
prime	1	56	0.018
identify	3	78	0.038
deal	2	373	0.005
endorse	2	22	0.091
proposal	13	289	0.045
condition	1	165	0.006
confirm	28	90	0.311
charge	42	494	0.085
authorize	3	38	0.079
paint	1	20	0.05
lay	1	44	0.023
piece	1	78	0.013
score	1	57	0.018
precisely	1	12	0.083
word	1	112	0.009
view	20	211	0.095
notice	4	36	0.111
condemn	1	16	0.062
sense	1	107	0.009
romance	1	5	0.2
strongly	1	36	0.028
voice	5	59	0.085
enable	1	48	0.021
present	2	99	0.02
recommend	20	68	0.294
celebrate	2	16	0.125
mention	10	48	0.208
discuss	9	104	0.087
discussion	1	70	0.014
press	5	128	0.039
speculate	22	33	0.667
ahead	1	126	0.008
attack	1	80	0.012
contest	1	33	0.03
across	1	97	0.01
fear	40	176	0.227
mean	7	223	0.031
convict	9	35	0.257
innuendo	1	2	0.5
simply	2	117	0.017
oppose	19	111	0.171
choose	2	89	0.022
admit	41	69	0.594
secret	2	38	0.053
refuse	19	82	0.232
battle	2	103	0.019
generation	1	55	0.018
recall	40	70	0.571
interject	1	1	1.0
accuse	44	75	0.587
stigma	1	5	0.2
remember	3	39	0.077
purr	2	2	1.0
sue	4	40	0.1
cry	1	9	0.111
respond	14	89	0.157
Chicago	1	254	0.004
quote	7	115	0.061
toward	2	136	0.015
motion	1	24	0.042
influence	1	76	0.013
fearful	1	6	0.167
encourage	7	96	0.073
resist	1	27	0.037
ground	1	60	0.017
approach	1	119	0.008
reassert	1	5	0.2
convey	1	9	0.111
caution	23	47	0.489
understanding	1	18	0.056
attitude	2	43	0.047
apprehensive	1	1	1.0
desirable	1	13	0.077
eye	1	80	0.012
uncanny	1	3	0.333
answer	3	79	0.038
plead	10	36	0.278
guilty	3	62	0.048
teach	1	38	0.026
anger	2	21	0.095
defend	6	60	0.1
stun	1	17	0.059
reform	1	104	0.01
temptation	2	8	0.25
allege	33	90	0.367
education	1	64	0.016
conclude	30	77	0.39
instruction	1	21	0.048
critic	1	71	0.014
allegation	2	40	0.05
resolve	2	60	0.033
love	1	44	0.023
advise	18	67	0.269
push	2	153	0.013
eager	4	30	0.133
interested	6	82	0.073
feeling	1	28	0.036
prevent	3	110	0.027
care	1	113	0.009
concede	38	59	0.644
discover	10	67	0.149
disclosure	1	34	0.029
dismay	1	7	0.143
dismiss	4	33	0.121
testify	7	26	0.269
decry	2	4	0.5
doubt	22	79	0.278
realize	7	78	0.09
relieved	1	11	0.091
aim	5	116	0.043
refer	3	60	0.05
ignore	1	62	0.016
unaware	1	4	0.25
privately	5	43	0.116
letter	1	140	0.007
threaten	9	72	0.125
implication	1	29	0.034
nominate	1	9	0.111
reportedly	18	24	0.75
assure	2	23	0.087
disturb	1	9	0.111
warn	41	65	0.631
takeover	1	299	0.003
wish	8	41	0.195
requirement	1	88	0.011
prohibit	8	33	0.242
relate	1	30	0.033
laugh	2	18	0.111
mount	1	32	0.031
promote	2	58	0.034
advocate	2	42	0.048
opinion	5	70	0.071
inquiry	1	42	0.024
remark	5	39	0.128
observe	18	28	0.643
empower	1	4	0.25
argument	4	54	0.074
principle	4	43	0.093
apologize	1	5	0.2
apology	1	5	0.2
fret	1	9	0.111
statement	2	201	0.01
sure	10	98	0.102
understand	7	72	0.097
reputation	3	41	0.073
accept	7	150	0.047
behavior	1	29	0.034
surprise	1	53	0.019
convinced	6	23	0.261
contend	74	92	0.804
perception	3	28	0.107
speculation	19	85	0.224
expectation	6	86	0.07
fume	1	5	0.2
persuade	8	38	0.211
willing	13	86	0.151
negotiate	1	92	0.011
disappointment	1	27	0.037
disappointed	2	20	0.1
officially	1	24	0.042
promise	32	132	0.242
chastise	2	4	0.5
portray	5	20	0.25
rely	1	50	0.02
reply	12	22	0.545
criticize	14	39	0.359
characterize	4	15	0.267
possibility	1	56	0.018
surprising	1	37	0.027
urging	9	25	0.36
praise	8	18	0.444
conversation	1	32	0.031
declare	51	88	0.58
perceive	1	18	0.056
boast	5	21	0.238
hopefully	1	8	0.125
halt	1	78	0.013
divide	3	40	0.075
rebuff	2	10	0.2
consent	9	43	0.209
criticism	2	48	0.042
disagree	3	26	0.115
nervousness	2	8	0.25
highlight	1	17	0.059
recommendation	2	32	0.062
anxious	3	15	0.2
clarify	1	10	0.1
exactly	2	34	0.059
goal	4	90	0.044
thought	1	20	0.05
define	7	28	0.25
confidence	2	58	0.034
express	12	65	0.185
herald	1	4	0.25
speak	2	67	0.03
well-known	1	26	0.038
satisfaction	1	18	0.056
fault	1	20	0.05
desire	3	42	0.071
hint	7	22	0.318
supposedly	1	8	0.125
harp	1	1	1.0
remind	6	14	0.429
volunteer	1	15	0.067
imply	9	26	0.346
discipline	1	32	0.031
shrug	1	4	0.25
wary	1	18	0.056
forget	3	29	0.103
ascribe	1	2	0.5
strategy	1	197	0.005
counter	3	35	0.086
peg	1	16	0.062
compromise	1	59	0.017
tout	2	15	0.133
entice	1	6	0.167
consensus	2	34	0.059
demonstrate	1	29	0.034
attribute	45	92	0.489
instruct	1	9	0.111
disagreement	1	8	0.125
solution	1	47	0.021
unwilling	3	10	0.3
emphasize	13	18	0.722
examine	1	25	0.04
insinuate	1	1	1.0
dub	4	17	0.235
mind	2	75	0.027
inform	3	31	0.097
prescribe	1	11	0.091
repeatedly	1	22	0.045
convince	7	16	0.438
applaud	3	11	0.273
indication	1	52	0.019
gut	1	9	0.111
rumor	20	83	0.241
respected	1	11	0.091
specify	9	44	0.205
interpretation	1	18	0.056
construe	1	5	0.2
ensure	2	54	0.037
proviso	1	3	0.333
illustrate	7	25	0.28
disapproval	1	3	0.333
invite	2	34	0.059
presume	1	8	0.125
relief	1	65	0.015
tear	1	13	0.077
flirt	1	4	0.25
bet	7	48	0.146
quash	1	5	0.2
denounce	3	13	0.231
theme	1	34	0.029
beg	1	5	0.2
profess	3	5	0.6
frightened	1	4	0.25
derisively	1	2	0.5
strive	1	7	0.143
dislike	1	8	0.125
resent	2	4	0.5
scream	1	12	0.083
hail	5	15	0.333
notify	1	27	0.037
echo	2	14	0.143
skepticism	1	9	0.111
sigh	1	10	0.1
wonder	12	51	0.235
dig	1	18	0.056
downgrade	1	28	0.036
plea	2	27	0.074
confident	7	36	0.194
assess	1	26	0.038
anticipation	1	26	0.038
unveil	15	39	0.385
nickname	2	12	0.167
skeptical	5	19	0.263
surprised	2	24	0.083
reaffirm	3	6	0.5
pledge	7	25	0.28
float	1	27	0.037
induce	1	17	0.059
assurance	1	22	0.045
sentence	1	43	0.023
revelation	1	3	0.333
wrestle	1	6	0.167
projection	1	43	0.023
solicite	1	8	0.125
interpret	5	27	0.185
embrace	1	20	0.05
proclaim	3	15	0.2
sang	2	7	0.286
repeat	3	42	0.071
object	1	15	0.067
lob	1	8	0.125
dictate	2	9	0.222
suppose	5	44	0.114
erupt	1	11	0.091
suggestion	1	30	0.033
suspicion	1	6	0.167
growl	1	1	1.0
recount	4	7	0.571
resident	1	63	0.016
invitation	1	8	0.125
specifically	1	24	0.042
yell	1	6	0.167
cavalier	1	2	0.5
delighted	2	5	0.4
implore	2	2	1.0
reassure	1	8	0.125
pronounce	1	6	0.167
humor	1	8	0.125
teem	1	3	0.333
disbelief	1	1	1.0
swear	1	11	0.091
indict	2	19	0.105
reluctant	3	29	0.103
forbid	3	9	0.333
unexpectedly	1	14	0.071
inclined	1	12	0.083
muse	2	6	0.333
await	2	24	0.083
counsel	1	36	0.028
signale	7	17	0.412
accusation	1	11	0.091
conspire	1	14	0.071
detect	1	17	0.059
repute	1	2	0.5
testimonial	1	2	0.5
sung	1	2	0.5
optimistic	2	30	0.067
confess	6	12	0.5
outline	4	14	0.286
pinpoint	2	9	0.222
equate	3	4	0.75
delight	1	4	0.25
assessment	1	24	0.042
pointedly	1	3	0.333
opt	1	11	0.091
dare	1	5	0.2
handy	1	10	0.1
reveal	4	26	0.154
exclaim	2	2	1.0
sing	1	9	0.111
appreciate	1	17	0.059
prediction	2	20	0.1
restate	1	22	0.045
frustration	1	10	0.1
hopeful	2	7	0.286
trepidation	1	2	0.5
comply	3	22	0.136
contemplate	1	18	0.056
belief	4	22	0.182
weary	1	4	0.25
definitively	1	6	0.167
allgedly	1	1	1.0
verify	1	3	0.333
marvel	1	4	0.25
chide	2	4	0.5
couch	1	3	0.333
nod	1	4	0.25
grudgingly	1	1	1.0
admonition	2	2	1.0
darkly	1	1	1.0
stagewhisper	1	1	1.0
solemnly	1	1	1.0
foresee	2	8	0.25
castigate	1	4	0.25
shout	2	21	0.095
purport	1	3	0.333
convincing	2	6	0.333
revealing	2	5	0.4
envisage	1	2	0.5
renounce	1	5	0.2
poise	1	7	0.143
depict	1	14	0.071
burble	1	1	1.0
Carpenter	1	21	0.048
conclusion	1	21	0.048
theorize	2	2	1.0
reiterate	9	10	0.9
pled	1	2	0.5
croon	1	2	0.5
rethink	2	3	0.667
credite	4	13	0.308
rave	1	2	0.5
attest	3	4	0.75
buttress	1	4	0.25
brag	2	3	0.667
ruminate	1	2	0.5
guess	3	20	0.15
caricature	1	3	0.333
jab	1	2	0.5
beam	1	4	0.25
mouth	1	10	0.1
joke	3	17	0.176
matter-of-factly	2	2	1.0
reignite	1	4	0.25
keen	1	7	0.143
brim	1	2	0.5
gripe	1	5	0.2
assail	2	2	1.0
Lourie	1	2	0.5
deride	2	2	1.0
confide	2	5	0.4
moan	1	3	0.333
cont'd.	1	1	1.0
affirm	2	3	0.667
allud	2	2	1.0
understate	2	4	0.5
confirmation	1	14	0.071
proudly	1	2	0.5
lecture	1	8	0.125
lament	2	4	0.5
compliment	1	5	0.2
demur	1	1	1.0
imposition	1	3	0.333
Said	2	8	0.25
downplay	1	3	0.333
pessimism	1	2	0.5
admittedly	1	4	0.25
acclaim	1	4	0.25
lambast	1	2	0.5
grumble	1	3	0.333
forcefully	1	3	0.333
solicit	1	5	0.2
crow	1	3	0.333
concur	1	2	0.5
breathy	1	1	1.0
reckon	6	11	0.545
sniff	4	7	0.571
expound	1	1	1.0
stipulate	2	4	0.5
disclaim	1	1	1.0
grouse	1	2	0.5
snort	2	2	1.0
insistent	1	1	1.0
ponder	2	6	0.333
fantasize	1	2	0.5
gloat	1	4	0.25
gush	1	2	0.5
unwillingness	1	3	0.333
unequivocally	1	1	1.0
chuckle	1	2	0.5
forbidden	1	1	1.0
harangue	1	2	0.5
arisen	1	2	0.5
self-declared	1	1	1.0
regards	1	1	1.0
discern	1	1	1.0
gospel	1	2	0.5
mutter	1	2	0.5
optimistically	1	1	1.0
decribe	1	1	1.0
sardonically	1	1	1.0
puzzling	1	1	1.0
re-emphasize	1	1	1.0
categorically	1	1	1.0
enticing	1	1	1.0
casuistry	1	1	1.0
apologetically	1	1	1.0
puzzlement	1	1	1.0
