	POS	dependency_head	dependency_label	doc_token_number	lemma	ne_info	sentence_number	sentence_token_number	token	cue_label	attribution
117	NNS	16	obj	118	rate	O	5	19	rates	0	_ _ _ I-CONTENT-PD-0 _ _
118	IN	23	case	119	for	O	5	20	for	0	_ _ _ I-CONTENT-PD-0 _ _
119	DT	23	det	120	a	O	5	21	a	0	_ _ _ I-CONTENT-PD-0 _ _
120	JJR	23	amod	121	longer	O	5	22	longer	0	_ _ _ I-CONTENT-PD-0 _ _
121	NN	16	obl	122	period	O	5	23	period	0	_ _ _ I-CONTENT-PD-0 _ _
122	.	4	punct	123	.	O	5	24	.	0	_ _ _ _ _ _
123	JJR	2	amod	124	shorter	O	6	1	Shorter	0	_ _ _ _ _ _
124	NNS	4	nsubj:pass	125	maturity	O	6	2	maturities	0	_ _ _ _ _ _
125	VBP	4	aux:pass	126	be	O	6	3	are	0	_ B-CUE-PD-1 _ _ _ _
126	VBN	0	root	127	consider	O	6	4	considered	1	_ I-CUE-PD-1 _ _ _ _
127	DT	6	det	128	a	O	6	5	a	0	_ B-CONTENT-PD-1 _ _ _ _
128	NN	4	xcomp	129	sign	O	6	6	sign	0	_ I-CONTENT-PD-1 _ _ _ _
129	IN	9	case	130	of	O	6	7	of	0	_ I-CONTENT-PD-1 _ _ _ _
130	NN	9	compound	131	rise	O	6	8	rising	0	_ I-CONTENT-PD-1 _ _ _ _
131	NNS	6	nmod	132	rate	O	6	9	rates	0	_ I-CONTENT-PD-1 _ _ _ _
132	IN	14	mark	133	because	O	6	10	because	0	_ I-CONTENT-PD-1 _ _ _ _
133	NN	12	compound	134	portfolio	O	6	11	portfolio	0	_ I-CONTENT-PD-1 _ _ _ _
134	NNS	14	nsubj	135	manager	O	6	12	managers	0	_ I-CONTENT-PD-1 _ _ _ _
135	MD	14	aux	136	can	O	6	13	can	0	_ I-CONTENT-PD-1 _ _ _ _
136	VB	4	advcl	137	capture	O	6	14	capture	0	_ I-CONTENT-PD-1 _ _ _ _
137	JJR	16	amod	138	higher	O	6	15	higher	0	_ I-CONTENT-PD-1 _ _ _ _
138	NNS	14	obj	139	rate	O	6	16	rates	0	_ I-CONTENT-PD-1 _ _ _ _
139	RBR	14	advmod	140	sooner	O	6	17	sooner	0	_ I-CONTENT-PD-1 _ _ _ _
140	.	4	punct	141	.	O	6	18	.	0	_ _ _ _ _ _
141	DT	3	det	142	the	O	7	1	The	0	_ _ _ _ _ _
142	JJ	3	amod	143	average	O	7	2	average	0	_ _ _ _ _ _
143	NN	27	nsubj	144	maturity	O	7	3	maturity	0	_ _ _ _ _ _
144	IN	5	case	145	for	O	7	4	for	0	_ _ _ _ _ _
145	NNS	3	nmod	146	fund	O	7	5	funds	0	_ _ _ _ _ _
146	JJ	5	amod	147	open	O	7	6	open	0	_ _ _ _ _ _
147	RB	9	advmod	148	only	O	7	7	only	0	_ _ _ _ _ _
148	IN	9	case	149	to	O	7	8	to	0	_ _ _ _ _ _
149	NNS	6	obl	150	institution	O	7	9	institutions	0	_ _ _ _ _ _
150	,	3	punct	151	,	O	7	10	,	0	_ _ _ _ _ _
151	VBN	9	acl	152	consider	O	7	11	considered	0	_ _ B-CUE-PD-2 _ _ _
152	IN	13	case	153	by	O	7	12	by	1	_ _ I-CUE-PD-2 _ _ _
153	DT	11	obl	154	some	O	7	13	some	0	_ _ B-SOURCE-PD-2 _ _ _
154	TO	18	mark	155	to	O	7	14	to	0	_ _ B-CONTENT-PD-2 _ _ _
155	VB	18	cop	156	be	O	7	15	be	0	_ _ I-CONTENT-PD-2 _ _ _
156	DT	18	det	157	a	O	7	16	a	0	_ _ I-CONTENT-PD-2 _ _ _
157	JJR	18	amod	158	stronger	O	7	17	stronger	0	_ _ I-CONTENT-PD-2 _ _ _
158	NN	11	xcomp	159	indicator	O	7	18	indicator	0	_ _ I-CONTENT-PD-2 _ _ _
159	IN	22	mark	160	because	O	7	19	because	0	_ _ I-CONTENT-PD-2 _ _ _
160	DT	21	det	161	those	O	7	20	those	0	_ _ I-CONTENT-PD-2 _ _ _
161	NNS	22	nsubj	162	manager	O	7	21	managers	0	_ _ I-CONTENT-PD-2 _ _ _
162	VBP	27	advcl	163	watch	O	7	22	watch	0	_ _ I-CONTENT-PD-2 _ _ _
163	DT	24	det	164	the	O	7	23	the	0	_ _ I-CONTENT-PD-2 _ _ _
164	NN	22	obj	165	market	O	7	24	market	0	_ _ I-CONTENT-PD-2 _ _ _
165	RB	22	advmod	166	closely	O	7	25	closely	0	_ _ I-CONTENT-PD-2 _ _ _
166	,	27	punct	167	,	O	7	26	,	0	_ _ _ _ _ _
167	VBN	0	root	168	reach	O	7	27	reached	0	_ _ _ _ _ _
168	DT	30	det	169	a	O	7	28	a	0	_ _ _ _ _ _
169	JJ	30	amod	170	high	O	7	29	high	0	_ _ _ _ _ _
170	NN	27	obj	171	point	O	7	30	point	0	_ _ _ _ _ _
171	IN	33	case	172	for	O	7	31	for	0	_ _ _ _ _ _
172	DT	33	det	173	the	B-DATE	7	32	the	0	_ _ _ _ _ _
173	NN	27	obl	174	year	E-DATE	7	33	year	0	_ _ _ _ _ _
174	,	27	punct	175	--	O	7	34	--	0	_ _ _ _ _ _
175	CD	36	nummod	176	33	B-DATE	7	35	33	0	_ _ _ _ _ _
176	NNS	27	obl:tmod	177	day	E-DATE	7	36	days	0	_ _ _ _ _ _
177	.	27	punct	178	.	O	7	37	.	0	_ _ _ _ _ _
178	RB	3	advmod	179	nevertheless	O	8	1	Nevertheless	0	_ _ _ _ B-CONTENT-PD-3 _
179	,	3	punct	180	,	O	8	2	,	0	_ _ _ _ _ _
180	VBD	0	root	181	say	O	8	3	said	1	_ _ _ _ B-CUE-PD-3 _
181	NNP	14	nsubj	182	Brenda	B-PERSON	8	4	Brenda	0	_ _ _ _ B-SOURCE-PD-3 _
182	NNP	4	flat	183	Malizia	I-PERSON	8	5	Malizia	0	_ _ _ _ I-SOURCE-PD-3 _
183	NNP	4	flat	184	Negus	E-PERSON	8	6	Negus	0	_ _ _ _ I-SOURCE-PD-3 _
184	,	4	punct	185	,	O	8	7	,	0	_ _ _ _ I-SOURCE-PD-3 _
185	NN	4	appos	186	editor	O	8	8	editor	0	_ _ _ _ I-SOURCE-PD-3 _
186	IN	12	case	187	of	O	8	9	of	0	_ _ _ _ I-SOURCE-PD-3 _
187	NNP	12	compound	188	money	B-ORG	8	10	Money	0	_ _ _ _ I-SOURCE-PD-3 _
188	NNP	12	compound	189	Fund	I-ORG	8	11	Fund	0	_ _ _ _ I-SOURCE-PD-3 _
189	NNP	8	nmod	190	report	E-ORG	8	12	Report	0	_ _ _ _ I-SOURCE-PD-3 _
190	,	14	punct	191	,	O	8	13	,	0	_ _ _ _ _ _
191	VBZ	3	ccomp	192	yield	O	8	14	yields	0	_ _ _ _ I-CONTENT-PD-3 _
192	,	17	punct	193	``	O	8	15	``	0	_ _ _ _ I-CONTENT-PD-3 _
193	MD	17	aux	194	may	O	8	16	may	0	_ _ _ _ I-CONTENT-PD-3 _
194	VB	14	ccomp	195	blip	O	8	17	blip	0	_ _ _ _ I-CONTENT-PD-3 _
195	RP	17	compound:prt	196	up	O	8	18	up	0	_ _ _ _ I-CONTENT-PD-3 _
196	RB	17	advmod	197	again	O	8	19	again	0	_ _ _ _ I-CONTENT-PD-3 _
197	IN	22	mark	198	before	O	8	20	before	0	_ _ _ _ I-CONTENT-PD-3 _
198	PRP	22	nsubj	199	they	O	8	21	they	0	_ _ _ _ I-CONTENT-PD-3 _
199	VBP	17	advcl	200	blip	O	8	22	blip	0	_ _ _ _ I-CONTENT-PD-3 _
200	RP	22	compound:prt	201	down	O	8	23	down	0	_ _ _ _ I-CONTENT-PD-3 _
201	''	17	punct	202	''	O	8	24	''	0	_ _ _ _ I-CONTENT-PD-3 _
202	IN	28	case	203	because	O	8	25	because	0	_ _ _ _ I-CONTENT-PD-3 _
203	IN	25	fixed	204	of	O	8	26	of	0	_ _ _ _ I-CONTENT-PD-3 _
204	JJ	28	amod	205	recent	O	8	27	recent	0	_ _ _ _ I-CONTENT-PD-3 _
205	NNS	17	obl	206	rise	O	8	28	rises	0	_ _ _ _ I-CONTENT-PD-3 _
206	IN	32	case	207	in	O	8	29	in	0	_ _ _ _ I-CONTENT-PD-3 _
207	JJ	32	amod	208	short-term	O	8	30	short-term	0	_ _ _ _ I-CONTENT-PD-3 _
208	NN	32	compound	209	interest	O	8	31	interest	0	_ _ _ _ I-CONTENT-PD-3 _
209	NNS	28	nmod	210	rate	O	8	32	rates	0	_ _ _ _ I-CONTENT-PD-3 _
210	.	3	punct	211	.	O	8	33	.	0	_ _ _ _ _ _
211	DT	2	det	212	the	O	9	1	The	0	_ _ _ _ _ _
212	NN	16	nsubj	213	yield	O	9	2	yield	0	_ _ _ _ _ _
213	IN	6	case	214	on	O	9	3	on	0	_ _ _ _ _ _
214	NN	6	compound	215	six-month	S-DATE	9	4	six-month	0	_ _ _ _ _ _
215	NN	6	compound	216	treasury	S-ORG	9	5	Treasury	0	_ _ _ _ _ _
216	NNS	2	nmod	217	bill	O	9	6	bills	0	_ _ _ _ _ _
217	VBN	6	acl	218	sell	O	9	7	sold	0	_ _ _ _ _ _
218	IN	11	case	219	at	O	9	8	at	0	_ _ _ _ _ _
219	NNP	11	nmod:poss	220	Monday	S-DATE	9	9	Monday	0	_ _ _ _ _ _
220	POS	9	case	221	's	O	9	10	's	0	_ _ _ _ _ _
221	NN	7	obl	222	auction	O	9	11	auction	0	_ _ _ _ _ _
222	,	16	punct	223	,	O	9	12	,	0	_ _ _ _ _ _
223	IN	14	case	224	for	O	9	13	for	0	_ _ _ _ _ _
224	NN	16	obl	225	example	O	9	14	example	0	_ _ _ _ _ _
225	,	16	punct	226	,	O	9	15	,	0	_ _ _ _ _ _
226	VBD	0	root	227	rise	O	9	16	rose	0	_ _ _ _ _ _
227	IN	19	case	228	to	O	9	17	to	0	_ _ _ _ _ _
228	CD	19	nummod	229	8.04	B-PERCENT	9	18	8.04	0	_ _ _ _ _ _
229	NN	16	obl	230	%	E-PERCENT	9	19	%	0	_ _ _ _ _ _
230	IN	22	case	231	from	O	9	20	from	0	_ _ _ _ _ _
231	CD	22	nummod	232	7.90	B-PERCENT	9	21	7.90	0	_ _ _ _ _ _
232	NN	16	obl	233	%	E-PERCENT	9	22	%	0	_ _ _ _ _ _
233	.	16	punct	234	.	O	9	23	.	0	_ _ _ _ _ _
234	IN	3	case	235	despite	O	10	1	Despite	0	_ _ _ _ _ _
235	JJ	3	amod	236	recent	O	10	2	recent	0	_ _ _ _ _ _
236	NNS	8	obl	237	decline	O	10	3	declines	0	_ _ _ _ _ _
237	IN	5	case	238	in	O	10	4	in	0	_ _ _ _ _ _
238	NNS	3	nmod	239	yield	O	10	5	yields	0	_ _ _ _ _ _
239	,	8	punct	240	,	O	10	6	,	0	_ _ _ _ _ _
240	NNS	8	nsubj	241	investor	O	10	7	investors	0	_ _ _ _ _ _
241	VBP	0	root	242	continue	O	10	8	continue	0	_ _ _ _ _ _
242	TO	10	mark	243	to	O	10	9	to	0	_ _ _ _ _ _
243	VB	8	xcomp	244	pour	O	10	10	pour	0	_ _ _ _ _ _
244	NN	10	obj	245	cash	O	10	11	cash	0	_ _ _ _ _ _
245	IN	14	case	246	into	O	10	12	into	0	_ _ _ _ _ _
246	NN	14	compound	247	money	O	10	13	money	0	_ _ _ _ _ _
247	NNS	10	obl	248	fund	O	10	14	funds	0	_ _ _ _ _ _
248	.	8	punct	249	.	O	10	15	.	0	_ _ _ _ _ _
249	NNS	7	nsubj	250	asset	O	11	1	Assets	0	_ _ _ _ _ _
250	IN	6	case	251	of	O	11	2	of	0	_ _ _ _ _ _
251	DT	6	det	252	the	O	11	3	the	0	_ _ _ _ _ _
252	CD	6	nummod	253	400	S-CARDINAL	11	4	400	0	_ _ _ _ _ _
253	NN	6	compound	254	taxable	O	11	5	taxable	0	_ _ _ _ _ _
254	NNS	1	nmod	255	fund	O	11	6	funds	0	_ _ _ _ _ _
255	VBD	0	root	256	grow	O	11	7	grew	0	_ _ _ _ _ _
256	IN	9	case	257	by	O	11	8	by	0	_ _ _ _ _ _
257	$	7	obl	258	$	B-MONEY	11	9	$	0	_ _ _ _ _ _
258	CD	11	compound	259	1.5	I-MONEY	11	10	1.5	0	_ _ _ _ _ _
259	CD	9	nummod	260	billion	E-MONEY	11	11	billion	0	_ _ _ _ _ _
260	IN	15	case	261	during	O	11	12	during	0	_ _ _ _ _ _
261	DT	15	det	262	the	B-DATE	11	13	the	0	_ _ _ _ _ _
262	JJS	15	amod	263	latest	I-DATE	11	14	latest	0	_ _ _ _ _ _
263	NN	7	obl	264	week	E-DATE	11	15	week	0	_ _ _ _ _ _
264	,	7	punct	265	,	O	11	16	,	0	_ _ _ _ _ _
265	IN	18	case	266	to	O	11	17	to	0	_ _ _ _ _ _
266	$	7	obl	267	$	B-MONEY	11	18	$	0	_ _ _ _ _ _
267	CD	20	compound	268	352.7	I-MONEY	11	19	352.7	0	_ _ _ _ _ _
268	CD	18	nummod	269	billion	E-MONEY	11	20	billion	0	_ _ _ _ _ _
269	.	7	punct	270	.	O	11	21	.	0	_ _ _ _ _ _
270	RB	5	advmod	271	typically	O	12	1	Typically	0	_ _ _ _ _ _
271	,	5	punct	272	,	O	12	2	,	0	_ _ _ _ _ _
272	JJ	4	amod	273	money-fund	O	12	3	money-fund	0	_ _ _ _ _ _
273	NNS	5	nsubj	274	yield	O	12	4	yields	0	_ _ _ _ _ _
274	VBP	0	root	275	beat	O	12	5	beat	0	_ _ _ _ _ _
275	JJ	8	amod	276	comparable	O	12	6	comparable	0	_ _ _ _ _ _
276	JJ	8	amod	277	short-term	O	12	7	short-term	0	_ _ _ _ _ _
277	NNS	5	obj	278	investment	O	12	8	investments	0	_ _ _ _ _ _
278	IN	13	mark	279	because	O	12	9	because	0	_ _ _ _ _ _
279	NN	11	compound	280	portfolio	O	12	10	portfolio	0	_ _ _ _ _ _
280	NNS	13	nsubj	281	manager	O	12	11	managers	0	_ _ _ _ _ _
281	MD	13	aux	282	can	O	12	12	can	0	_ _ _ _ _ _
282	VB	5	advcl	283	vary	O	12	13	vary	0	_ _ _ _ _ _
283	NNS	13	obj	284	maturity	O	12	14	maturities	0	_ _ _ _ _ _
284	CC	16	cc	285	and	O	12	15	and	0	_ _ _ _ _ _
285	VB	13	conj	286	go	O	12	16	go	0	_ _ _ _ _ _
286	IN	20	case	287	after	O	12	17	after	0	_ _ _ _ _ _
287	DT	20	det	288	the	O	12	18	the	0	_ _ _ _ _ _
288	JJS	20	amod	289	highest	O	12	19	highest	0	_ _ _ _ _ _
289	NNS	16	obl	290	rate	O	12	20	rates	0	_ _ _ _ _ _
290	.	5	punct	291	.	O	12	21	.	0	_ _ _ _ _ _
291	DT	4	det	292	the	O	13	1	The	0	_ _ _ _ _ _
292	JJ	4	amod	293	top	O	13	2	top	0	_ _ _ _ _ _
293	NN	4	compound	294	money	O	13	3	money	0	_ _ _ _ _ _
294	NNS	7	nsubj	295	fund	O	13	4	funds	0	_ _ _ _ _ _
295	VBP	7	aux	296	be	O	13	5	are	0	_ _ _ _ _ _
296	RB	7	advmod	297	currently	O	13	6	currently	0	_ _ _ _ _ _
297	VBG	0	root	298	yield	O	13	7	yielding	0	_ _ _ _ _ _
298	RB	10	advmod	299	well	B-PERCENT	13	8	well	0	_ _ _ _ _ _
299	RB	10	advmod	300	over	I-PERCENT	13	9	over	0	_ _ _ _ _ _
300	CD	11	nummod	301	9	I-PERCENT	13	10	9	0	_ _ _ _ _ _
301	NN	7	obj	302	%	E-PERCENT	13	11	%	0	_ _ _ _ _ _
302	.	7	punct	303	.	O	13	12	.	0	_ _ _ _ _ _
303	NNP	9	nsubj	304	Dreyfus	B-ORG	14	1	Dreyfus	0	_ _ _ _ _ _
304	NNP	1	flat	305	World-Wide	I-ORG	14	2	World-Wide	0	_ _ _ _ _ _
305	NNP	1	flat	306	dollar	E-ORG	14	3	Dollar	0	_ _ _ _ _ _
306	,	1	punct	307	,	O	14	4	,	0	_ _ _ _ _ _
307	DT	7	det	308	the	O	14	5	the	0	_ _ _ _ _ _
308	NN	7	compound	309	top-yielding	O	14	6	top-yielding	0	_ _ _ _ _ _
309	NN	1	appos	310	fund	O	14	7	fund	0	_ _ _ _ _ _
310	,	9	punct	311	,	O	14	8	,	0	_ _ _ _ _ _
311	VBD	0	root	312	have	O	14	9	had	0	_ _ _ _ _ _
312	DT	13	det	313	a	O	14	10	a	0	_ _ _ _ _ _
313	JJ	13	amod	314	seven-day	O	14	11	seven-day	0	_ _ _ _ _ _
314	NN	13	compound	315	compound	O	14	12	compound	0	_ _ _ _ _ _
315	NN	9	obj	316	yield	O	14	13	yield	0	_ _ _ _ _ _
316	IN	16	case	317	of	O	14	14	of	0	_ _ _ _ _ _
317	CD	16	nummod	318	9.37	B-PERCENT	14	15	9.37	0	_ _ _ _ _ _
318	NN	13	nmod	319	%	E-PERCENT	14	16	%	0	_ _ _ _ _ _
319	IN	20	case	320	during	O	14	17	during	0	_ _ _ _ _ _
320	DT	20	det	321	the	B-DATE	14	18	the	0	_ _ _ _ _ _
321	JJS	20	amod	322	latest	I-DATE	14	19	latest	0	_ _ _ _ _ _
322	NN	9	obl	323	week	E-DATE	14	20	week	0	_ _ _ _ _ _
323	,	9	punct	324	,	O	14	21	,	0	_ _ _ _ _ _
324	RB	9	advmod	325	down	O	14	22	down	0	_ _ _ _ _ _
325	IN	25	case	326	from	O	14	23	from	0	_ _ _ _ _ _
