	POS	dependency_head	dependency_label	doc_token_number	lemma	ne_info	sentence_number	sentence_token_number	token	cue_label	attribution
72	IN	13	mark	73	over	O	4	12	over	0	_ _ _
73	VBG	11	acl	74	cut	O	4	13	cutting	0	_ _ _
74	NNS	15	compound	75	capital-gain	O	4	14	capital-gains	0	_ _ _
75	NNS	13	obj	76	tax	O	4	15	taxes	0	_ _ _
76	.	8	punct	77	.	O	4	16	.	0	_ _ _
77	DT	2	det	78	the	O	5	1	The	0	_ _ _
78	NNP	4	nsubj	79	House	S-ORG	5	2	House	0	_ _ _
79	VBZ	4	aux	80	have	O	5	3	has	0	_ _ _
80	VBN	0	root	81	vote	O	5	4	voted	0	_ _ _
81	TO	6	mark	82	to	O	5	5	to	0	_ _ _
82	VB	4	xcomp	83	raise	O	5	6	raise	0	_ _ _
83	DT	8	det	84	the	O	5	7	the	0	_ _ _
84	NN	6	obj	85	ceiling	O	5	8	ceiling	0	_ _ _
85	IN	10	case	86	to	O	5	9	to	0	_ _ _
86	$	6	obl	87	$	B-MONEY	5	10	$	0	_ _ _
87	CD	12	compound	88	3.1	I-MONEY	5	11	3.1	0	_ _ _
88	CD	10	nummod	89	trillion	E-MONEY	5	12	trillion	0	_ _ _
89	,	19	punct	90	,	O	5	13	,	0	_ _ _
90	CC	19	cc	91	but	O	5	14	but	0	_ _ _
91	DT	16	det	92	the	O	5	15	the	0	_ _ _
92	NNP	19	nsubj:pass	93	Senate	S-ORG	5	16	Senate	0	_ _ _
93	VBZ	19	aux:pass	94	be	O	5	17	is	0	_ _ B-CUE-AT-1
94	RB	19	advmod	95	not	O	5	18	n't	0	_ _ I-CUE-AT-1
95	VBN	4	conj	96	expect	O	5	19	expected	1	_ _ I-CUE-AT-1
96	TO	21	mark	97	to	O	5	20	to	0	_ _ B-CONTENT-AT-1
97	VB	19	xcomp	98	act	O	5	21	act	0	_ _ I-CONTENT-AT-1
98	IN	24	case	99	until	O	5	22	until	0	_ _ I-CONTENT-AT-1
99	JJ	24	amod	100	next	B-DATE	5	23	next	0	_ _ I-CONTENT-AT-1
100	NN	21	obl	101	week	E-DATE	5	24	week	0	_ _ I-CONTENT-AT-1
101	IN	27	case	102	at	O	5	25	at	0	_ _ I-CONTENT-AT-1
102	DT	27	det	103	the	O	5	26	the	0	_ _ I-CONTENT-AT-1
103	JJS	21	obl	104	earliest	O	5	27	earliest	0	_ _ I-CONTENT-AT-1
104	.	4	punct	105	.	O	5	28	.	0	_ _ _
105	DT	2	det	106	the	O	6	1	The	0	_ B-SOURCE-PD-1 _
106	NNP	3	nsubj	107	Treasury	S-ORG	6	2	Treasury	0	_ I-SOURCE-PD-1 _
107	VBD	0	root	108	say	O	6	3	said	1	_ B-CUE-PD-1 _
108	DT	5	det	109	the	O	6	4	the	0	_ B-CONTENT-PD-1 _
109	NNP	7	nsubj	110	U.S.	S-GPE	6	5	U.S.	0	_ I-CONTENT-PD-1 _
110	MD	7	aux	111	will	O	6	6	will	0	_ I-CONTENT-PD-1 _
111	VB	3	ccomp	112	default	O	6	7	default	0	_ I-CONTENT-PD-1 _
112	IN	9	case	113	on	O	6	8	on	0	_ I-CONTENT-PD-1 _
113	NNP	7	obl	114	Nov.	B-DATE	6	9	Nov.	0	_ I-CONTENT-PD-1 _
114	CD	9	nummod	115	9	E-DATE	6	10	9	0	_ I-CONTENT-PD-1 _
115	IN	15	mark	116	if	O	6	11	if	0	_ I-CONTENT-PD-1 _
116	NNP	15	nsubj	117	Congress	S-ORG	6	12	Congress	0	_ I-CONTENT-PD-1 _
117	VBZ	15	aux	118	do	O	6	13	does	0	_ I-CONTENT-PD-1 _
118	RB	15	advmod	119	not	O	6	14	n't	0	_ I-CONTENT-PD-1 _
119	VB	7	advcl	120	act	O	6	15	act	0	_ I-CONTENT-PD-1 _
120	IN	17	case	121	by	O	6	16	by	0	_ I-CONTENT-PD-1 _
121	RB	15	obl	122	then	O	6	17	then	0	_ I-CONTENT-PD-1 _
122	.	3	punct	123	.	O	6	18	.	0	_ _ _
