lemma,cue_label,baseline
a,0,0
free-fall,0,0
",",0,0
even,0,0
central,0,0
bank,0,0
can,0,0
not,0,0
stop,0,0
it,0,0
.,0,0
speculator,0,0
be,0,0
call,0,0
for,0,0
a,0,0
degree,0,0
of,0,1
liquidity,0,0
that,0,0
be,0,0
not,0,0
there,0,0
in,0,0
the,0,0
market,0,0
.,0,0
'',0,0
many,0,0
money,0,0
manager,0,0
and,0,0
some,0,0
trader,0,0
have,0,0
already,0,0
leave,0,0
they,0,0
office,0,0
early,0,0
Friday,0,0
afternoon,0,0
on,0,0
a,0,0
warm,0,0
autumn,0,0
day,0,0
--,0,0
because,0,0
the,0,0
stock,0,0
market,0,0
be,0,0
so,0,0
quiet,0,0
.,0,0
then,0,0
in,0,0
a,0,0
lightning,0,0
plunge,0,0
",",0,0
the,0,0
Dow,0,0
Jones,0,0
industrial,0,0
in,0,0
barely,0,0
a,0,0
hour,0,0
surrender,0,0
about,0,0
a,0,0
third,0,0
of,0,1
they,0,0
gain,0,0
this,0,0
year,0,0
",",0,0
chalk,0,0
up,0,0
a,0,0
190.58-point,0,0
",",0,0
or,0,0
6.9,0,0
%,0,0
",",0,0
loss,0,0
on,0,0
the,0,0
day,0,0
in,0,0
gargantuan,0,0
trading,0,0
volume,0,0
.,0,0
final-hour,0,0
trading,0,0
accelerate,0,0
to,0,0
108.1,0,0
million,0,0
share,0,0
",",0,0
a,0,0
record,0,0
for,0,0
the,0,0
Big,0,0
Board,0,0
.,0,0
at,0,0
the,0,0
end,0,0
of,0,1
the,0,0
day,0,0
",",0,0
251.2,0,0
million,0,0
share,0,0
be,0,0
trade,0,0
.,0,0
the,0,0
Dow,0,0
Jones,0,0
industrial,0,0
close,0,0
at,0,0
2569.26,0,0
.,0,0
the,0,0
Dow,0,0
's,0,0
decline,0,0
be,0,0
second,0,0
in,0,0
point,0,0
term,0,0
only,0,0
to,0,0
the,0,0
508-point,0,0
black,0,0
Monday,0,0
crash,0,0
that,0,0
occur,0,0
Oct.,0,0
19,0,0
",",0,0
1987,0,0
.,0,0
in,0,0
percentage,0,0
term,0,0
",",0,0
however,0,0
",",0,0
the,0,0
Dow,0,0
's,0,0
dive,0,0
be,0,0
the,0,0
12th-worst,0,0
ever,0,0
and,0,0
the,0,0
sharpest,0,0
since,0,0
the,0,0
market,0,0
fall,0,0
156.83,0,0
",",0,0
or,0,0
8,0,0
%,0,0
",",0,0
a,0,0
week,0,0
after,0,0
black,0,0
Monday,0,0
.,0,0
the,0,0
Dow,0,0
fall,0,0
22.6,0,0
%,0,0
on,0,0
Black,0,0
Monday,0,0
.,0,0
share,0,0
of,0,1
UAL,0,0
",",0,0
the,0,0
parent,0,0
of,0,1
United,0,0
Airlines,0,0
",",0,0
be,0,0
extremely,0,0
active,0,0
all,0,0
day,0,0
Friday,0,0
",",0,0
react,0,0
to,0,0
news,0,0
and,0,0
rumor,0,0
about,0,0
the,0,0
propose,0,0
$,0,0
6.79,0,0
billion,0,0
buy-out,0,0
of,0,1
the,0,0
airline,0,0
by,0,0
a,0,0
employee-management,0,0
group,0,0
.,0,0
Wall,0,0
Street,0,0
's,0,0
takeover-stock,0,0
speculator,0,0
",",0,0
or,0,0
``,0,0
risk,0,0
arbitrager,0,0
",",0,0
'',0,0
have,0,0
place,0,0
unusually,0,0
large,0,0
bet,1,0
that,0,0
a,0,0
takeover,0,0
would,0,0
succeed,0,0
and,0,0
ual,0,0
stock,0,0
would,0,0
rise,0,0
.,0,0
at,0,0
2:43,0,0
p.m.,0,0
EDT,0,0
",",0,0
come,0,0
the,0,0
sickening,0,0
news,0,0
:,0,0
the,0,0
Big,0,0
Board,0,0
be,0,0
halt,0,0
trade,0,0
in,0,0
UAL,0,0
",",0,0
``,0,0
pend,0,0
news,0,0
.,0,0
'',0,0
on,0,0
the,0,0
exchange,0,0
floor,0,0
",",0,0
``,0,0
as,0,0
soon,0,0
as,0,0
UAL,0,0
stop,0,0
trading,0,0
",",0,0
we,0,0
brace,0,0
for,0,0
a,0,0
panic,0,0
",",0,0
'',0,0
say,1,1
one,0,0
top,0,0
floor,0,0
trader,0,0
.,0,0
several,0,0
trader,0,0
could,0,0
be,0,0
see,0,1
shake,0,0
they,0,0
head,0,0
when,0,0
the,0,0
news,0,0
flash,0,0
.,0,0
for,0,0
week,0,0
",",0,0
the,0,0
market,0,0
have,0,0
be,0,0
nervous,0,0
about,0,0
takeover,0,0
",",0,0
after,0,0
Campeau,0,0
Corp.,0,0
's,0,0
cash,0,0
crunch,0,0
spur,0,0
concern,0,0
about,0,0
the,0,0
prospect,0,0
for,0,0
future,0,0
highly,0,0
leverage,0,0
takeover,0,0
.,0,0
and,0,0
10,0,0
minute,0,0
after,0,0
the,0,0
UAL,0,0
trading,0,0
halt,0,0
come,0,0
news,1,0
that,0,0
the,0,0
UAL,0,0
group,0,0
could,0,0
not,0,0
get,0,0
financing,0,0
for,0,0
its,0,0
bid,0,0
.,0,0
at,0,0
this,0,0
point,0,0
",",0,0
the,0,0
Dow,0,0
be,0,0
down,0,0
about,0,0
35,0,0
point,0,0
.,0,0
the,0,0
market,0,0
crumble,0,0
.,0,0
arbitrager,0,0
could,0,0
not,0,0
dump,0,0
they,0,0
ual,0,0
stock,0,0
--,0,0
but,0,0
they,0,0
rid,0,0
themselves,0,0
of,0,1
nearly,0,0
every,0,0
``,0,0
rumor,0,0
'',0,0
stock,0,0
they,0,0
have,0,0
.,0,0
for,0,0
example,0,0
",",0,0
they,0,0
sell,0,0
cause,0,0
trading,0,0
halt,0,0
to,0,0
be,0,0
declare,0,0
in,0,0
USAir,0,0
Group,0,0
",",0,0
which,0,0
close,0,0
down,0,0
3,0,0
7\/8,0,0
to,0,0
41,0,0
1\/2,0,0
",",0,0
Delta,0,0
Air,0,0
line,0,0
",",0,0
which,0,0
fall,0,0
7,0,0
3\/4,0,0
to,0,0
69,0,0
1\/4,0,0
",",0,0
and,0,0
Philips,0,0
Industries,0,0
",",0,0
which,0,0
sank,0,0
3,0,0
to,0,0
21,0,0
1\/2,0,0
.,0,0
these,0,0
stock,0,0
eventually,0,0
reopen,0,0
.,0,0
but,0,0
as,0,0
panic,0,0
spread,0,0
",",0,0
speculator,0,0
begin,0,0
to,0,0
sell,0,0
blue-chip,0,0
stock,0,0
such,0,0
as,0,0
Philip,0,0
Morris,0,0
and,0,0
International,0,0
Business,0,0
Machines,0,0
to,0,0
offset,0,0
they,0,0
loss,0,0
.,0,0
when,0,0
trading,0,0
be,0,0
halt,0,0
in,0,0
Philip,0,0
Morris,0,0
",",0,0
the,0,0
stock,0,0
be,0,0
trade,0,0
at,0,0
41,0,0
",",0,0
down,0,0
3,0,0
3\/8,0,0
",",0,0
while,0,0
IBM,0,0
close,0,0
5,0,0
5\/8,0,0
lower,0,0
at,0,0
102,0,0
.,0,0
sell,0,0
snowball,0,0
because,0,0
of,0,1
wafe,0,0
of,0,1
automatic,0,0
``,0,0
stop-loss,0,0
'',0,0
order,0,0
",",0,0
which,0,0
be,0,0
trigger,0,0
by,0,0
computer,0,0
when,0,0
price,0,0
fall,0,0
to,0,0
certain,0,0
level,0,0
.,0,0
most,0,0
of,0,1
the,0,0
stock,0,0
sell,0,0
pressure,0,0
come,0,0
from,0,0
Wall,0,0
Street,0,0
professional,0,0
",",0,0
include,0,0
computer-guid,0,0
program,0,0
trader,0,0
.,0,0
Traders,0,0
say,1,1
most,0,0
of,0,1
they,0,0
major,0,0
institutional,0,0
investor,0,0
",",0,0
on,0,0
the,0,0
other,0,0
hand,0,0
",",0,0
sit,0,0
tight,0,0
.,0,0
now,0,0
",",0,0
at,0,0
3:07,0,0
",",0,0
one,0,0
of,0,1
the,0,0
market,0,0
's,0,0
post-crash,0,0
``,0,0
reform,0,0
'',0,0
take,0,0
hold,0,0
as,0,0
the,0,0
S&amp;P,0,0
500,0,0
future,0,0
contract,0,0
have,0,0
plunge,0,0
12,0,0
point,0,0
",",0,0
equivalent,0,0
to,0,0
around,0,0
a,0,0
100-point,0,0
drop,0,0
in,0,0
the,0,0
Dow,0,0
industrial,0,0
.,0,0
under,0,0
a,0,0
agreement,0,0
sign,0,0
by,0,0
the,0,0
Big,0,0
Board,0,0
and,0,0
the,0,0
Chicago,0,0
Mercantile,0,0
Exchange,0,0
",",0,0
trading,0,0
be,0,0
temporarily,0,0
halt,0,0
in,0,0
Chicago,0,0
.,0,0
after,0,0
the,0,0
trading,0,0
halt,0,0
in,0,0
the,0,0
S&amp;P,0,0
500,0,0
pit,0,0
in,0,0
Chicago,0,0
",",0,0
wafe,0,0
of,0,1
sell,0,0
continue,0,0
to,0,0
hit,0,0
stock,0,0
themselves,0,0
on,0,0
the,0,0
Big,0,0
Board,0,0
",",0,0
and,0,0
specialist,0,0
continue,0,0
to,0,0
notch,0,0
price,0,0
down,0,0
.,0,0
as,0,0
a,0,0
result,0,0
",",0,0
the,0,0
link,0,1
between,0,0
the,0,0
future,0,0
and,0,0
stock,0,0
market,0,0
rip,0,0
apart,0,0
.,0,0
without,0,0
the,0,0
guidepost,0,0
of,0,1
stock-index,0,0
future,0,0
--,0,0
the,0,0
barometer,0,0
of,0,1
where,0,0
trader,0,0
think,1,0
the,0,0
overall,0,0
stock,0,0
market,0,0
be,0,0
head,0,0
--,0,0
many,0,0
trader,0,0
be,0,0
afraid,0,0
to,0,0
trust,0,0
stock,0,0
price,0,0
quote,0,0
on,0,0
the,0,0
Big,0,0
Board,0,0
.,0,0
the,0,0
future,0,0
halt,0,0
be,0,0
even,0,0
assail,0,0
by,0,0
big,0,0
board,0,0
floor,0,0
trader,0,0
.,0,0
``,0,0
it,0,0
screw,0,0
thing,0,0
up,0,0
",",0,0
'',0,0
say,1,1
one,0,0
major,0,0
specialist,0,0
.,0,0
this,0,0
confusion,0,0
effectively,0,0
halt,0,0
one,0,0
form,0,0
of,0,1
program,0,0
trading,0,0
",",0,0
stock,0,0
index,0,0
arbitrage,0,0
",",0,0
that,0,0
closely,0,0
link,0,1
the,0,0
future,0,0
and,0,0
stock,0,0
market,0,0
",",0,0
and,0,0
have,0,0
be,0,0
blame,1,0
by,0,0
some,0,0
for,0,0
the,0,0
market,0,0
's,0,0
big,0,0
swing,0,0
.,0,0
-lrb-,0,0
in,0,0
a,0,0
stock-index,0,0
arbitrage,0,0
sell,0,0
program,0,0
",",0,0
trader,0,0
buy,0,0
or,0,0
sell,0,0
big,0,0
basket,0,0
of,0,1
stock,0,0
and,0,0
offset,0,0
the,0,0
trade,0,0
in,0,0
future,0,0
to,0,0
lock,0,0
in,0,0
a,0,0
price,0,0
difference,0,0
.,0,0
-RRB-,0,0
``,0,0
when,0,0
the,0,0
airline,0,0
information,0,0
come,0,0
through,0,0
",",0,0
it,0,0
crack,0,0
every,0,0
model,0,0
we,0,0
have,0,0
for,0,0
the,0,0
marketplace,0,0
",",0,0
'',0,0
say,1,1
a,0,0
manage,0,0
director,0,0
at,0,0
one,0,0
of,0,1
the,0,0
largest,0,0
program-trading,0,0
firm,0,0
.,0,0
``,0,0
we,0,0
do,0,0
not,0,0
even,0,0
get,0,0
a,0,0
chance,0,0
to,0,0
do,0,0
the,0,0
program,0,0
we,0,0
want,0,0
to,0,0
do,0,0
.,0,0
'',0,0
but,0,0
stock,0,0
keep,0,0
fall,0,0
.,0,0
the,0,0
Dow,0,0
industrial,0,0
be,0,0
down,0,0
55,0,0
point,0,0
at,0,0
3,0,0
p.m.,0,0
before,0,0
the,0,0
futures-trading,0,0
halt,0,0
.,0,0
at,0,0
3:30,0,0
p.m.,0,0
",",0,0
at,0,0
the,0,0
end,0,0
of,0,1
the,0,0
``,0,0
cooling,0,0
off,0,0
'',0,0
period,0,0
",",0,0
the,0,0
average,0,0
be,0,0
down,0,0
114.76,0,0
point,0,0
.,0,0
meanwhile,0,0
",",0,0
during,0,0
the,0,0
the,0,0
S&amp;P,0,0
trading,0,0
halt,0,0
",",0,0
S&amp;P,0,0
future,0,0
sell,0,0
order,0,0
begin,0,0
pile,0,0
up,0,0
",",0,0
while,0,0
stock,0,0
in,0,0
New,0,0
York,0,0
keep,0,0
fall,0,0
sharply,0,0
.,0,0
Big,0,0
Board,0,0
Chairman,0,0
John,0,0
J.,0,0
Phelan,0,0
say,1,1
yesterday,0,0
the,0,0
circuit,0,0
breaker,0,0
``,0,0
work,0,0
well,0,0
mechanically,0,0
.,0,0
I,0,0
just,0,0
think,0,0
it,0,0
be,0,0
nonproductive,0,0
at,0,0
this,0,0
point,0,0
to,0,0
get,0,0
into,0,0
a,0,0
debate,0,0
if,0,0
index,0,0
arbitrage,0,0
would,0,0
have,0,0
help,0,0
or,0,0
hurt,0,0
thing,0,0
.,0,0
'',0,0
under,0,0
another,0,0
post-crash,0,0
system,0,0
",",0,0
Big,0,0
Board,0,0
President,0,0
Richard,0,0
Grasso,0,0
-lrb-,0,0
Mr.,0,0
Phelan,0,0
be,0,0
fly,0,0
to,0,0
Bangkok,0,0
as,0,0
the,0,0
market,0,0
be,0,0
fall,0,0
-RRB-,0,0
be,0,0
talk,0,0
on,0,0
a,0,0
``,0,0
inter-exchange,0,0
hot,0,0
line,0,0
'',0,0
to,0,0
the,0,0
other,0,0
exchange,0,0
",",0,0
the,0,0
Securities,0,0
and,0,0
Exchange,0,0
Commission,0,0
and,0,0
the,0,0
Federal,0,0
Reserve,0,0
Board,0,0
.,0,0
he,0,0
camp,0,0
out,0,0
at,0,0
a,0,0
high-tech,0,0
nerve,0,0
center,0,0
on,0,0
the,0,0
floor,0,0
of,0,1
the,0,0
Big,0,0
Board,0,0
",",0,0
where,0,0
he,0,0
could,0,0
watch,0,0
update,0,0
on,0,0
price,0,0
and,0,0
pend,0,0
stock,0,0
order,0,0
.,0,0
at,0,0
about,0,0
3:30,0,0
p.m.,0,0
EDT,0,0
",",0,0
S&amp;P,0,0
future,0,0
resume,0,0
trading,0,0
",",0,0
and,0,0
for,0,0
a,0,0
brief,0,0
time,0,0
the,0,0
future,0,0
and,0,0
stock,0,0
market,0,0
start,0,0
to,0,0
come,0,0
back,0,0
in,0,0
line,0,0
.,0,0
buyer,0,0
step,0,0
in,0,0
to,0,0
the,0,0
future,0,0
pit,0,0
.,0,0
but,0,0
the,0,0
build-up,0,0
of,0,1
S&amp;P,0,0
future,0,0
sell,0,0
order,0,0
weigh,0,0
on,0,0
the,0,0
market,0,0
",",0,0
and,0,0
the,0,0
link,0,1
with,0,0
stock,0,0
begin,0,0
to,0,0
fray,0,0
again,0,0
.,0,0
at,0,0
about,0,0
3:45,0,0
",",0,0
the,0,0
S&amp;P,0,0
market,0,0
careen,0,0
to,0,0
still,0,0
another,0,0
limit,0,0
",",0,0
of,0,1
30,0,0
point,0,0
down,0,0
",",0,0
and,0,0
trading,0,0
be,0,0
lock,0,0
again,0,0
.,0,0
future,0,0
trader,0,0
say,1,1
the,0,0
S&amp;P,0,0
be,0,0
signal,0,0
that,0,0
the,0,0
Dow,0,0
could,0,0
fall,0,0
as,0,0
much,0,0
as,0,0
200,0,0
point,0,0
.,0,0
during,0,0
this,0,0
time,0,0
",",0,0
small,0,0
investor,0,0
begin,0,0
ringe,0,0
they,0,0
broker,0,0
",",0,0
wonder,1,0
whether,0,0
another,0,0
crash,0,0
have,0,0
begin,0,0
.,0,0
at,0,0
Prudential-Bache,0,0
Securities,0,0
Inc.,0,0
",",0,0
which,0,0
be,0,0
try,0,0
to,0,0
cater,0,0
to,0,0
small,0,0
investor,0,0
",",0,0
some,0,0
demoralize,0,0
broker,0,0
think,1,0
this,0,0
would,0,0
be,0,0
the,0,0
final,0,0
confidence-crusher,0,0
.,0,0
that,0,0
be,0,0
when,0,0
George,0,0
L.,0,0
Ball,0,0
",",0,0
chairman,0,0
of,0,1
the,0,0
Prudential,0,0
Insurance,0,0
Co.,0,0
of,0,1
America,0,0
unit,0,0
",",0,0
take,0,0
to,0,0
the,0,0
internal,0,0
intercom,0,0
system,0,0
to,0,0
declare,1,0
that,0,0
the,0,0
plunge,0,0
be,0,0
only,0,0
``,0,0
mechanical,0,0
.,0,0
'',0,0
``,0,0
I,0,0
have,0,0
a,0,0
hunch,0,0
that,0,0
this,0,0
particular,0,0
decline,0,0
today,0,0
be,0,0
something,0,0
`,0,0
more,0,0
ado,0,0
about,0,0
less,0,0
.,0,0
',0,0
it,0,0
would,0,0
be,0,0
my,0,0
inclination,0,0
to,0,0
advise,0,0
client,0,0
not,0,0
to,0,0
sell,0,0
",",0,0
to,0,0
look,0,0
for,0,0
a,0,0
opportunity,0,0
to,0,0
buy,0,0
",",0,0
'',0,0
Mr.,0,0
Ball,0,0
tell,1,0
the,0,0
broker,0,0
.,0,0
at,0,0
Merrill,0,0
Lynch,0,0
&amp;,0,0
Co.,0,0
",",0,0
the,0,0
nation,0,0
's,0,0
biggest,0,0
brokerage,0,0
firm,0,0
",",0,0
a,0,0
news,0,0
release,0,0
be,0,0
prepare,0,0
headline,0,0
``,0,0
Merrill,0,0
Lynch,0,0
comment,0,0
on,0,0
market,0,0
Drop,0,0
.,0,0
'',0,0
the,0,0
release,0,0
caution,1,0
that,0,0
``,0,0
there,0,0
be,0,0
significant,0,0
difference,0,0
between,0,0
the,0,0
current,0,0
environment,0,0
and,0,0
that,0,0
of,0,1
October,0,0
1987,0,0
'',0,0
and,0,0
that,0,0
there,0,0
be,0,0
still,0,0
``,0,0
attractive,0,0
investment,0,0
opportunity,0,0
'',0,0
in,0,0
the,0,0
stock,0,0
market,0,0
.,0,0
however,0,0
",",0,0
Jeffrey,0,0
B.,0,0
Lane,0,0
",",0,0
president,0,0
of,0,1
Shearson,0,0
Lehman,0,0
Hutton,0,0
Inc.,0,0
",",0,0
say,1,1
that,0,0
Friday,0,0
's,0,0
plunge,0,0
be,0,0
``,0,0
go,0,0
to,0,0
set,0,0
back,0,0
'',0,0
relation,0,0
with,0,0
customer,0,0
",",0,0
``,0,0
because,0,0
it,0,0
reinforce,0,0
the,0,0
concern,0,0
of,0,1
volatility,0,0
.,0,0
and,0,0
I,0,0
think,0,0
a,0,0
lot,0,0
of,0,1
people,0,0
will,0,0
harp,0,0
on,0,0
program,0,0
trading,0,0
.,0,0
it,0,0
be,0,0
go,0,0
to,0,0
bring,0,0
the,0,0
debate,0,0
right,0,0
back,0,0
to,0,0
the,0,0
forefront,0,0
.,0,0
'',0,0
as,0,0
the,0,0
Dow,0,0
average,0,0
ground,0,0
to,0,0
its,0,0
final,0,0
190.58,0,0
loss,0,0
Friday,0,0
",",0,0
the,0,0
S&amp;P,0,0
pit,0,0
stay,0,0
lock,0,0
at,0,0
its,0,0
30-point,0,0
trading,0,0
limit,0,0
.,0,0
Jeffrey,0,0
Yass,0,0
of,0,1
program,0,0
trader,0,0
Susquehanna,0,0
investment,0,0
Group,0,0
say,1,1
"2,000",0,0
S&amp;P,0,0
contract,0,0
be,0,0
for,0,0
sale,0,0
on,0,0
the,0,0
close,0,0
",",0,0
the,0,0
equivalent,0,0
of,0,1
$,0,0
330,0,0
million,0,0
in,0,0
stock,0,0
.,0,0
but,0,0
there,0,0
be,0,0
no,0,0
buyer,0,0
.,0,0
while,0,0
Friday,0,0
's,0,0
debacle,0,0
involve,0,0
mainly,0,0
professional,0,0
trader,0,0
rather,0,0
than,0,0
investor,0,0
",",0,0
it,0,0
leave,0,0
the,0,0
market,0,0
vulnerable,0,0
to,0,0
continue,0,0
sell,0,0
this,0,0
morning,0,0
",",0,0
trader,0,0
say,1,1
.,0,0
stock-index,0,0
future,0,0
contract,0,0
settle,0,0
at,0,0
much,0,0
lower,0,0
price,0,0
than,0,0
index,0,0
of,0,1
the,0,0
stock,0,0
market,0,0
itself,0,0
.,0,0
at,0,0
those,0,0
level,0,0
",",0,0
stock,0,0
be,0,0
set,0,0
up,0,0
to,0,0
be,0,0
hammer,0,0
by,0,0
index,0,0
arbitrager,0,0
",",0,0
who,0,0
lock,0,0
in,0,0
profit,0,0
by,0,0
buy,0,0
future,0,0
when,0,0
future,0,0
price,0,0
fall,0,0
",",0,0
and,0,0
simultaneously,0,0
sell,0,0
off,0,0
stock,0,0
.,0,0
but,0,0
nobody,0,0
know,1,0
at,0,0
what,0,0
level,0,0
the,0,0
future,0,0
and,0,0
stock,0,0
will,0,0
open,0,0
today,0,0
.,0,0
the,0,0
de-linkage,0,0
between,0,0
the,0,0
stock,0,0
and,0,0
future,0,0
market,0,0
Friday,0,0
will,0,0
undoubtedly,0,0
cause,0,0
renew,0,0
debate,0,0
about,0,0
whether,0,0
Wall,0,0
Street,0,0
be,0,0
properly,0,0
prepare,0,0
for,0,0
another,0,0
crash,0,0
situation,0,0
.,0,0
the,0,0
Big,0,0
Board,0,0
's,0,0
Mr.,0,0
Grasso,0,0
say,1,1
",",0,0
``,0,0
we,0,0
systemic,0,0
performance,0,0
be,0,0
good,0,0
.,0,0
'',0,0
but,0,0
the,0,0
exchange,0,0
will,0,0
``,0,0
look,0,0
at,0,0
the,0,0
performance,0,0
of,0,1
all,0,0
specialist,0,0
in,0,0
all,0,0
stock,0,0
.,0,0
obviously,0,0
we,0,0
will,0,0
take,0,0
a,0,0
close,0,0
look,0,0
at,0,0
any,0,0
situation,0,0
in,0,0
which,0,0
we,0,0
think,0,0
the,0,0
dealer-community,0,0
obligation,0,0
be,0,0
not,0,0
meet,0,0
",",0,0
'',0,0
he,0,0
say,1,1
.,0,0
-lrb-,0,0
see,0,1
related,0,0
story,0,0
:,0,0
``,0,0
feed,0,0
ready,0,0
to,0,0
inject,0,0
big,0,0
fund,0,0
'',0,0
--,0,0
WSJ,0,0
Oct.,0,0
16,0,0
",",0,0
1989,0,0
-RRB-,0,0
but,0,0
specialist,0,0
complain,0,0
privately,1,0
that,0,0
just,0,0
as,0,0
in,0,0
the,0,0
1987,0,0
crash,0,0
",",0,0
the,0,0
``,0,0
upstairs,0,0
'',0,0
firm,0,0
--,0,0
big,0,0
investment,0,0
bank,0,0
that,0,0
support,0,0
the,0,0
market,0,0
by,0,0
trade,0,0
big,0,0
block,0,0
of,0,1
stock,0,0
--,0,0
stay,0,0
on,0,0
the,0,0
sideline,0,0
during,0,0
Friday,0,0
's,0,0
blood-letting,0,0
.,0,0
Mr.,0,0
Phelan,0,0
say,1,1
",",0,0
``,0,0
it,0,0
will,0,0
take,0,0
another,0,0
day,0,0
or,0,0
two,0,0
'',0,0
to,0,0
analyze,0,0
who,0,0
be,0,0
buy,0,0
and,0,0
sell,0,0
Friday,0,0
.,0,0
concern,0,0
you,0,0
Sept.,0,0
21,0,0
page-one,0,0
article,0,0
on,0,0
Prince,0,0
Charles,0,0
and,0,0
the,0,0
leech,0,0
:,0,0
it,0,0
be,0,0
a,0,0
few,0,0
hundred,0,0
year,0,0
since,0,0
England,0,0
have,0,0
be,0,0
a,0,0
kingdom,0,0
.,0,0
it,0,0
be,0,0
now,0,0
the,0,0
United,0,0
Kingdom,0,0
of,0,1
Great,0,0
Britain,0,0
and,0,0
Northern,0,0
Ireland,0,0
",",0,0
comprise,0,0
Wales,0,0
",",0,0
Northern,0,0
Ireland,0,0
",",0,0
Scotland,0,0
",",0,0
and,0,0
...,0,0
oh,0,0
yes,0,0
",",0,0
England,0,0
",",0,0
too,0,0
.,0,0
just,0,0
think,0,0
you,0,0
would,0,0
like,0,0
to,0,0
know,0,0
.,0,0
George,0,0
Morton,0,0
port,0,0
of,0,1
call,0,0
Inc.,0,0
reach,0,0
agreement,0,0
to,0,0
sell,0,0
its,0,0
remain,0,0
seven,0,0
aircraft,0,0
to,0,0
buyer,0,0
that,0,0
be,0,0
not,0,0
disclose,0,0
.,0,0
the,0,0
agreement,0,0
bring,0,0
to,0,0
a,0,0
total,0,0
of,0,1
nine,0,0
the,0,0
number,0,0
of,0,1
plane,0,0
the,0,0
travel,0,0
company,0,0
have,0,0
sell,0,0
this,0,0
year,0,0
as,0,0
part,0,0
of,0,1
a,0,0
restructuring,0,0
.,0,0
the,0,0
company,0,0
say,1,1
a,0,0
portion,0,0
of,0,1
the,0,0
$,0,0
32,0,0
million,0,0
realize,0,0
from,0,0
the,0,0
sale,0,0
will,0,0
be,0,0
use,0,0
to,0,0
repay,0,0
its,0,0
bank,0,0
debt,0,0
and,0,0
